,0
1138,Anne Stupinski
1139,Christopher Danforth
1140,Peter Dodds
1141,Thayer Alshaabi
1142,Babak Heydari
1143,Dan O'brien
1144,Laiyang Ke
1145,Alex Pentland
1146,Esteban Moro
1147,Matias Travizano
1148,Xiaowen Dong
1149,Yan Leng
1150,Amit Sheth
1151,Krishnaprasad Thirunarayan
1152,Maninder Kalra
1153,Marco Valtorta
1154,Utkarshani Ja
1155,Adam Hughes
1156,Onyi Lam
1157,Stefan Wojcik
1158,Leonardo Nicoletti
1159,Mikhail Sirkenko
1160,Trivik Verma
1161,Eni Mustafaraj
1162,Caitlin Gray
1163,Lewis Mitchell
1164,Matthewhew Roughan
1165,Antoine Mazieres
1166,Camille Roth
1167,Telmo Menezes
1168,Fan Zhang
1169,Zhuangyuan Fan
1170,Alicia Cork
1171,Mark Levine
1172,Miriam Koschate-reis
1173,Richard Everson
1174,Anna Tedijanto
1175,Anneke Buffone
1176,H 
1177,Rediet Abebe
1178,Salvatore Giorgi
1179,Anindya Ghose
1180,Panos Ipeirotis
1181,Prasanna Parasurama
1182,Marco Brambilla
1183,Margherita Ricotti
1184,Dorian Tsolak
1185,Simon Kuhne
1186,Andrea Baronchelli
1187,Damon Centola
1188,Douglas Guilbeault
1189,Martin Hilbert
1190,Mario Molina
1191,Martin Hilbert
1192,Qiankun Zhong
1193,Seth Frey
1194,Nicolas Pares
1195,Peter Organisciak
1196,Arram Bae
1197,Jingbo Meng
1198,Winson Peng
1199,Christian Strippel
1200,Joachim Trebbe
1201,Laura Laugwitz
1202,Martin Emmer
1203,Sunje Paasch-colberg
1204,Alexander Mantzaris
1205,Ivan Garibay
1206,Jasser Jasser
1207,Steve Scheinert
1208,Ece Mutlu
1209,Ivan Garibay
1210,Feng Fu
1211,Matthewhew Jones
1212,Scott Pauls
1213,Aditya Tandon
1214,Alessandro Flammini
1215,Diego Amancio
1216,Filipi Silva
1217,Filippo Menczer
1218,Santo Fortunato
1219,Stasa Milojevic
1220,Flora Samu
1221,Julia Galantai
1222,Karoly Takacs
1223,Itsuki Fujisaki
1224,Kazuhiro Ueda
1225,Kunhao Yang
1226,Alex Pentland
1227,Michiel Bakker
1228,Qiankun Zhong
1229,Seth Frey
1230,Blake Wertz
1231,Martin Hilbert
1232,Qiankun Zhong
1233,Seth Frey
1234,Alexander Brand
