author
Yifan Yu
Xiancheng Li
Maurizio Porfiri
Christoph Dann
Lucas Maystre
Phoebe Yao
Ricarda Schafer
Woo-sung Jung
Michael Ribers
Marloes Maathuis
Sameer Srivastava
Yoshihiko Suhara
Lorenzo Gabrielli
Mark Sutcliffe
Cameron Taylor
Munmun Choudhury
Amit Sheth
Rosa Alberto
Kenneth Joseph
Filippo Menczer
Steve Scheinert
Julia Galantai
Tong Zeng
Sourav Medya
Roland Filippi
Dan Goldstein
Tiffany Lu
Zac Ioannidis
Alexandre Bovet
Yaneer Bar-yam
Markus Mobius
Michele Coscia
Cody Buntain
Stefano Ceri
Anri Suzuki
Alexander Brand
Cristian Vallejos
Jose Carlock
Lili Miao
Chenhao Tan
Takayuki Mizuno
Denis Helic
Kuansan Wang
Kristen Altenburger
Mikhail Sirenko
Irene Pasquetto
Markus Strohmaier
Fan Yang
Alvin Zhou
Andrew Halterman
Ananth Balashankar
Wan-ying Chang
Cameron Martel
Sven Banisch
Georg-christoph Haas
Luke Dickens
Niraj Sitaula
Pedro Morales
Michio Hosaka
Nicholas Beauchamp
Massimo Riccaboni
Apratim Mishra
Wei Ai
Sam Zhang
Madhav Joshi
Munif Mujib
Dominique Cardon
Marie Puren
Aram Galstyan
Jeremy Yang
Zach Fulker
Roshi Nateghi
Alexander Mantzaris
Dmitry Zinoviev
Christoph Kern
Hyeonho Song
Edwin Jonge
Andrew Fitzgerald
Leah Rosenzweig
Samuel Way
Lillio Mok
Henner Gimpel
Lin Wang
Viktoria Spaiser
Bedoor Alshebli
Shi Chong
Mikhail Sirkenko
Manuel Herranz
Balazs Nagy
Jennifer Allen
Yang Wang
Jingbo Meng
Tim Lomas
Deb Roy
Antonio Sirianni
Lingfei Wu
Juan Serrano
Connor Toups
Lina Ramos
Shohei Doi
Alexander Stewart
Tian Yang
Jan Laan
Veronika Vincze
Oceane Boulais
Petra Filkukova
Paul Vicinanza
Yuchen Liu
Scott Hale
Alex Arenas
Raj Chetty
Hossein Rahmana
Jeffery Schank
Miguel Guevara
Lea Brandt
Isabella Loaiza
Mariano Beguerisse-diaz
